_id,name,used_in,type,subtype,rarity,category,weight,price_value,price_denomination,shelfLife,description,img,tables,source_file,crafting_use,crafting_multiplier,crafted_value
332b78d369a85216,Acorns,foraging,consumable,food,common,food,0.5,1,cp,4,A handful of dried acorns from a forest floor; bitter raw but edible when leached.,icons/consumables/nuts/hazelnut-acorn-shell-brown.webp,Light Forest - Tier 1 Foraging Table,Acorns_332b78d369a85216.json,,,
dc4f8ae1e2845308,Alchemical Lichen,foraging,loot,,uncommon,component,0.5,4,gp,,A slow-growing crust lichen with rare chemical properties; used in transmutation work.,icons/consumables/plants/herb-tied-bundle-green.webp,Arctic / Tundra - Rare Foraging Table; Coastal - Rare Foraging Table; Swamp / Marsh - Rare Foraging Table; Swamp / Marsh - Tier 3 Foraging Table; Underground / Cave - Rare Foraging Table; Underground / Cave - Tier 1 Foraging Table; Underground / Cave - Tier 2 Foraging Table; Underground / Cave - Tier 3 Foraging Table,Alchemical_Lichen_dc4f8ae1e2845308.json,Transmutation reagent — items with transformative or shape-altering properties,3,12 gp
469c7b60adf6b8d6,Alchemist Discards,foraging,loot,,uncommon,component,0.5,1,gp,,Partially-processed alchemical materials left behind in urban waste; still viable as reagents.,icons/consumables/potions/potion-flask-corked-green.webp,Urban / Ruins - Rare Foraging Table; Urban / Ruins - Tier 1 Foraging Table; Urban / Ruins - Tier 2 Foraging Table; Urban / Ruins - Tier 3 Foraging Table,Alchemist_Discards_469c7b60adf6b8d6.json,General alchemical reagent — salvageable for a variety of preparations,3,3 gp
e1cd84030603cce3,Alchemist's Weed,foraging,loot,,uncommon,component,0.5,1,gp,,A pungent herb used as a base reagent in minor alchemical preparations.,icons/consumables/plants/herb-tied-bundle-yellow-green.webp,Coastal - Rare Foraging Table; Dense Forest / Jungle - Rare Foraging Table; Dense Forest / Jungle - Tier 3 Foraging Table; Desert / Wasteland - Rare Foraging Table; Light Forest - Rare Foraging Table; Light Forest - Tier 3 Foraging Table; Mountain - Rare Foraging Table; Plains / Grassland - Rare Foraging Table; Swamp / Marsh - Rare Foraging Table; Swamp / Marsh - Tier 3 Foraging Table; Underground / Cave - Rare Foraging Table; Urban / Ruins - Rare Foraging Table; Urban / Ruins - Tier 3 Foraging Table,Alchemists_Weed_e1cd84030603cce3.json,Alchemical base — foundational ingredient in minor preparations,3,3 gp
ee7c25ca5ed5c182,Bitter Greens,foraging,consumable,food,common,food,0.5,1,cp,3,Leafy greens pulled from the ground's edge; nutritious despite the sharp flavor.,icons/consumables/plants/leaf-herb-green.webp,Coastal - Tier 1 Foraging Table; Dense Forest / Jungle - Tier 1 Foraging Table; Plains / Grassland - Tier 1 Foraging Table; Swamp / Marsh - Tier 1 Foraging Table; Urban / Ruins - Tier 1 Foraging Table,Bitter_Greens_ee7c25ca5ed5c182.json,,,
c26dda909c46386f,Blind Fish,foraging,consumable,food,common,food,1,4,sp,1,A translucent fish pulled from an underground pool; soft flesh and mild taste.,icons/consumables/meat/fish-whole-blue.webp,Underground / Cave - Tier 1 Foraging Table; Underground / Cave - Tier 2 Foraging Table; Underground / Cave - Tier 3 Foraging Table,Blind_Fish_c26dda909c46386f.json,,,
d9a62ccd42f9aa76,Bone Shard,foraging,loot,,common,material,0.5,1,sp,,A pointed shard of animal bone found near old remains; useful for crude tools or fetishes.,icons/commodities/bones/bone-broken-grey.webp,Arctic / Tundra - Tier 1 Foraging Table; Desert / Wasteland - Tier 1 Foraging Table; Mountain - Tier 1 Foraging Table; Underground / Cave - Tier 1 Foraging Table; Urban / Ruins - Tier 1 Foraging Table,Bone_Shard_d9a62ccd42f9aa76.json,,,
ebfb5252e7534007,Cactus Fruit,foraging,consumable,food,common,food,0.5,2,sp,3,A spiny fruit cut from a desert cactus; juicy inside with a mildly sweet taste.,icons/consumables/fruit/pickly-pear-cactus-red-yellow.webp,Desert / Wasteland - Tier 1 Foraging Table; Desert / Wasteland - Tier 2 Foraging Table; Desert / Wasteland - Tier 3 Foraging Table,Cactus_Fruit_ebfb5252e7534007.json,,,
1235b1ec7bf80080,Cactus Water,foraging,consumable,drink,common,food,1,5,sp,0,Water painstakingly extracted from a cactus core; enough to sustain one person.,icons/consumables/drinks/water-jug-clay-brown.webp,Desert / Wasteland - Rare Foraging Table; Desert / Wasteland - Tier 1 Foraging Table; Desert / Wasteland - Tier 2 Foraging Table; Desert / Wasteland - Tier 3 Foraging Table,Cactus_Water_1235b1ec7bf80080.json,,,
c9328bfda958d567,Cave Mushroom,foraging,consumable,food,common,food,0.5,3,sp,3,A pale fungus growing in the dark; edible and surprisingly rich in flavor.,icons/consumables/mushrooms/convex-bolete-brown.webp,Underground / Cave - Tier 1 Foraging Table; Underground / Cave - Tier 2 Foraging Table; Underground / Cave - Tier 3 Foraging Table,Cave_Mushroom_c9328bfda958d567.json,,,
7783b0b110611144,Coastal Fish,foraging,consumable,food,common,food,2,5,sp,1,A larger fish speared or trapped near the coast; firm white flesh.,icons/consumables/meat/fillet-fish-pink-teal.webp,Coastal - Rare Foraging Table; Coastal - Tier 2 Foraging Table; Coastal - Tier 3 Foraging Table,Coastal_Fish_7783b0b110611144.json,,,
ab337d5fd83d2e60,Coconut,foraging,consumable,food,common,food,2,2,sp,4,A green coconut knocked from a palm; the water inside is clean and refreshing.,icons/consumables/fruit/coconut-cut-bowl-brown.webp,Dense Forest / Jungle - Tier 1 Foraging Table,Coconut_ab337d5fd83d2e60.json,,,
